id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
862,Shortest Subarray with Sum at Least K,0,Hard,37,592,16
149,Max Points on a Line,0,Hard,0,582,1536
154,Find Minimum in Rotated Sorted Array II,0,Hard,3,565,158
317,Shortest Distance from All Buildings,1,Hard,18,558,30
741,Cherry Pickup,0,Hard,12,548,43
834,Sum of Distances in Tree,0,Hard,20,540,27
685,Redundant Connection II,0,Hard,3,537,169
480,Sliding Window Median,0,Hard,9,521,53
65,Valid Number,0,Hard,0,520,3730
381,Insert Delete GetRandom O(1) - Duplicates allowed,0,Hard,9,517,52
815,Bus Routes,0,Hard,26,508,19
683,K Empty Slots,1,Hard,0,500,523
363,Max Sum of Rectangle No Larger Than K,0,Hard,13,493,36
630,Course Schedule III,0,Hard,19,488,25
327,Count of Range Sum,0,Hard,6,480,69
321,Create Maximum Number,0,Hard,2,471,167
887,Super Egg Drop,0,Hard,9,466,47
992,Subarrays with K Different Integers,0,Hard,51,462,9
679,24 Game,0,Hard,4,460,97
272,Closest Binary Search Tree Value II,1,Hard,25,440,17
68,Text Justification,0,Hard,0,438,1181
975,Odd Even Jump,0,Hard,3,437,134
546,Remove Boxes,0,Hard,10,434,40
871,Minimum Number of Refueling Stops,0,Hard,54,432,8
765,Couples Holding Hands,0,Hard,8,430,51
432,All O`one Data Structure,0,Hard,7,419,59
185,Department Top Three Salaries,0,Hard,4,406,85
773,Sliding Puzzle,0,Hard,26,404,15
425,Word Squares,1,Hard,11,400,36
668,Kth Smallest Number in Multiplication Table,0,Hard,20,389,19
265,Paint House II,1,Hard,27,389,14
968,Binary Tree Cameras,0,Hard,34,381,11
778,Swim in Rising Water,0,Hard,11,374,33
330,Patching Array,0,Hard,5,368,63
847,Shortest Path Visiting All Nodes,0,Hard,8,367,41
727,Minimum Window Subsequence,1,Hard,22,367,16
87,Scramble String,0,Hard,0,352,559
675,Cut Off Trees for Golf Event,0,Hard,1,351,202
730,Count Different Palindromic Subsequences,0,Hard,9,350,37
158,Read N Characters Given Read4 II - Call multiple times,1,Hard,0,345,840
472,Concatenated Words,0,Hard,4,343,73
552,Student Attendance Record II,0,Hard,5,341,66
843,Guess the Word,0,Hard,0,340,368
818,Race Car,0,Hard,8,340,40
803,Bricks Falling When Hit,0,Hard,3,338,101
296,Best Meeting Point,1,Hard,14,335,23
52,N-Queens II,0,Hard,2,334,129
715,Range Module,0,Hard,13,329,25
753,Cracking the Safe,0,Hard,0,328,377
291,Word Pattern II,1,Hard,15,324,21
308,Range Sum Query 2D - Mutable,1,Hard,6,323,48
458,Poor Pigs,0,Hard,0,318,744
514,Freedom Trail,0,Hard,17,315,18
644,Maximum Average Subarray II,1,Hard,9,313,34
446,Arithmetic Slices II - Subsequence,0,Hard,6,312,45
358,Rearrange String k Distance Apart,1,Hard,22,311,14
465,Optimal Account Balancing,1,Hard,6,306,48
827,Making A Large Island,0,Hard,30,304,10
639,Decode Ways II,0,Hard,0,304,409
1000,Minimum Cost to Merge Stones,0,Hard,12,303,25
664,Strange Printer,0,Hard,7,300,38
780,Reaching Points,0,Hard,4,296,63
768,Max Chunks To Make Sorted II,0,Hard,24,296,12
772,Basic Calculator III,1,Hard,3,289,96
691,Stickers to Spell Word,0,Hard,11,289,26
759,Employee Free Time,1,Hard,14,274,19
980,Unique Paths III,0,Hard,6,273,40
805,Split Array With Same Average,0,Hard,4,265,56
732,My Calendar III,0,Hard,2,262,91
600,Non-negative Integers without Consecutive Ones,0,Hard,4,262,65
828,Unique Letter String,0,Hard,8,260,30
774,Minimize Max Distance to Gas Station,1,Hard,7,260,37
471,Encode String with Shortest Length,1,Hard,15,260,17
786,K-th Smallest Prime Fraction,0,Hard,18,258,14
391,Perfect Rectangle,0,Hard,4,258,55
726,Number of Atoms,0,Hard,2,255,91
920,Number of Music Playlists,0,Hard,8,253,31
428,Serialize and Deserialize N-ary Tree,1,Hard,22,251,11
864,Shortest Path to Get All Keys,0,Hard,31,250,8
1028,Recover a Tree From Preorder Traversal,0,Hard,27,247,9
262,Trips and Users,0,Hard,1,247,179
745,Prefix and Suffix Search,0,Hard,1,239,167
568,Maximum Vacation Days,1,Hard,7,239,33
629,K Inverse Pairs Array,0,Hard,3,237,73
940,Distinct Subsequences II,0,Hard,21,231,11
502,IPO,0,Hard,10,227,22
440,K-th Smallest in Lexicographical Order,0,Hard,5,227,39
517,Super Washing Machines,0,Hard,1,226,119
854,K-Similar Strings,0,Hard,9,225,24
850,Rectangle Area II,0,Hard,9,220,24
352,Data Stream as Disjoint Intervals,0,Hard,3,218,66
956,Tallest Billboard,0,Hard,19,216,11
913,Cat and Mouse,0,Hard,4,216,49
943,Find the Shortest Superstring,0,Hard,3,213,57
710,Random Pick with Blacklist,0,Hard,4,203,47
829,Consecutive Numbers Sum,0,Hard,0,203,299
839,Similar String Groups,0,Hard,3,202,66
903,Valid Permutations for DI Sequence,0,Hard,8,201,25
233,Number of Digit One,0,Hard,0,201,502
761,Special Binary String,0,Hard,2,200,75
924,Minimize Malware Spread,0,Hard,1,193,152
1092,Shortest Common Supersequence,0,Hard,31,189,6
757,Set Intersection Size At Least Two,0,Hard,11,188,16
996,Number of Squareful Arrays,0,Hard,13,187,14
736,Parse Lisp Expression,0,Hard,1,186,156
699,Falling Squares,0,Hard,5,186,37
798,Smallest Rotation with Highest Score,0,Hard,13,182,14
564,Find the Closest Palindrome,0,Hard,0,178,671
1125,Smallest Sufficient Team,0,Hard,28,173,6
960,Delete Columns to Make Sorted III,0,Hard,34,173,5
879,Profitable Schemes,0,Hard,8,170,21
588,Design In-Memory File System,1,Hard,7,170,23
527,Word Abbreviation,1,Hard,1,170,103
995,Minimum Number of K Consecutive Bit Flips,0,Hard,7,167,21
1074,Number of Submatrices That Sum to Target,0,Hard,20,165,8
1192,Critical Connections in a Network,0,Hard,8,163,19
302,Smallest Rectangle Enclosing Black Pixels,1,Hard,3,158,45
1187,Make Array Strictly Increasing,0,Hard,39,156,4
488,Zuma Game,0,Hard,1,155,150
587,Erect the Fence,0,Hard,0,150,157
891,Sum of Subsequence Widths,0,Hard,1,147,82
1032,Stream of Characters,0,Hard,3,146,38
1106,Parsing A Boolean Expression,0,Hard,17,137,8
499,The Maze III,1,Hard,3,136,36
248,Strobogrammatic Number III,1,Hard,1,134,118
952,Largest Component Size by Common Factor,0,Hard,3,131,33
878,Nth Magical Number,0,Hard,3,131,43
656,Coin Path,1,Hard,1,129,74
899,Orderly Queue,0,Hard,0,126,153
1036,Escape a Large Maze,0,Hard,1,124,81
466,Count The Repetitions,0,Hard,1,124,99
793,Preimage Size of Factorial Zeroes Function,0,Hard,2,119,47
1095,Find in Mountain Array,0,Hard,7,117,15
964,Least Operators to Express Number,0,Hard,3,117,38
927,Three Equal Parts,0,Hard,2,115,41
902,Numbers At Most N Given Digit Set,0,Hard,4,115,27
1001,Grid Illumination,0,Hard,2,114,47
928,Minimize Malware Spread II,0,Hard,3,114,34
1178,Number of Valid Words for Each Puzzle,0,Hard,14,113,8
601,Human Traffic of Stadium,0,Hard,0,111,222
882,Reachable Nodes In Subdivided Graph,0,Hard,1,109,104
1044,Longest Duplicate Substring,0,Hard,1,108,84
711,Number of Distinct Islands II,1,Hard,0,108,122
936,Stamping The Sequence,0,Hard,3,107,31
420,Strong Password Checker,0,Hard,0,106,420
411,Minimum Unique Word Abbreviation,1,Hard,1,106,104
1168,Optimize Water Distribution in a Village,1,Hard,35,105,3
1012,Numbers With Repeated Digits,0,Hard,3,105,34
431,Encode N-ary Tree to Binary Tree,1,Hard,17,103,6
483,Smallest Good Base,0,Hard,0,102,272
1096,Brace Expansion II,0,Hard,1,101,75
1157,Online Majority Element In Subarray,0,Hard,6,100,15
335,Self Crossing,0,Hard,0,96,286
782,Transform to Chessboard,0,Hard,0,94,100
1147,Longest Chunked Palindrome Decomposition,0,Hard,11,90,8
660,Remove 9,1,Hard,0,85,124
1172,Dinner Plate Stacks,0,Hard,9,74,8
479,Largest Palindrome Product,0,Hard,0,74,1253
982,Triples with Bitwise AND Equal To Zero,0,Hard,0,68,94
631,Design Excel Sum Formula,1,Hard,0,68,73
1153,String Transforms Into Another String,1,Hard,6,66,10
1210,Minimum Moves to Reach Target with Rotations,0,Hard,4,65,15
591,Tag Validator,0,Hard,0,65,334
1203,Sort Items by Groups Respecting Dependencies,0,Hard,4,60,13
1163,Last Substring in Lexicographical Order,0,Hard,0,60,150
1220,Count Vowels Permutation,0,Hard,3,59,17
906,Super Palindromes,0,Hard,0,55,137
579,Find Cumulative Salary of an Employee,1,Hard,0,55,69
571,Find Median Given Frequency of Numbers,1,Hard,2,54,20
749,Contain Virus,0,Hard,0,51,178
569,Median Employee Salary,1,Hard,1,49,27
810,Chalkboard XOR Game,0,Hard,0,47,158
1199,Minimum Time to Build Blocks,1,Hard,7,44,6
770,Basic Calculator IV,0,Hard,0,44,401
615,Average Salary: Departments VS Company,1,Hard,2,44,15
1216,Valid Palindrome III,1,Hard,21,43,2
1063,Number of Valid Subarrays,1,Hard,8,41,5
1206,Design Skiplist,0,Hard,5,39,7
1183,Maximum Number of Ones,1,Hard,7,39,5
1136,Parallel Courses,1,Hard,13,39,3
972,Equal Rational Numbers,0,Hard,0,34,106
1121,Divide Array Into Increasing Sequences,1,Hard,3,33,11
1088,Confusing Number II,1,Hard,3,25,8
618,Students Report By Geography,1,Hard,0,24,59
1127,User Purchase Platform,1,Hard,2,23,10
1067,Digit Count in Range,1,Hard,6,18,3
1097,Game Play Analysis V,1,Hard,2,13,6
1194,Tournament Winners,1,Hard,2,8,3
1159,Market Analysis II,1,Hard,2,8,3
